,timestep,Residential_Electricity_Load_R1,Residential_Electricity_Load_R2,Residential_Electricity_Load_R3,Residential_Electricity_Load_R4,Residential_Electricity_Load_R5,Residential_Electricity_Load_R6,Small_Commercial_Electricity_Load_C1,Small_Commercial_Electricity_Load_C2,Capacity Factor,Availability_R1,Availability_R2,EV_Demand_EV_R1,EV_Demand_EV_R2
0,0,0.7740259433726843,0.5245740111824452,0.6707626606358698,0.7476313548604407,0.7889186603137871,0.6839588835281881,0.9467766787264484,0.7706697174680789,0.0,0.9026683907370401,0.9250971070786713,0.10419416516072555,0.04952084556813711
0,1,0.666677166961828,0.4421613321136324,0.5550747570526054,0.6297752453256182,0.7122805212853615,0.5619340229904469,0.9279511716036799,0.7469017057019931,0.0,0.9026683907370401,0.9250971070786713,0.10419416516072555,0.04952084556813711
0,2,0.5490543216411338,0.40311643187167706,0.4698406838736525,0.5236600539633937,0.5927791623889147,0.47927474291709377,0.9085417141434264,0.674,0.0,0.9026683907370401,0.9250971070786713,0.10419416516072555,0.04952084556813711
0,3,0.5525707048081642,0.3221724106176723,0.4100211235081034,0.43686360638699173,0.5170980486603167,0.41852012948751544,0.6740000000000002,0.718109893467699,0.0,0.9026683907370401,0.9250971070786713,0.10419416516072555,0.04952084556813711
0,4,0.4515361523172662,0.32923405848447684,0.3868700858728835,0.43122453257831295,0.488151134970233,0.398278532536167,1.0528131683565454,0.77744391261339,0.0,0.9026683907370401,0.9250971070786713,0.10419416516072555,0.04952084556813711
0,5,0.5024640548376196,0.31439419530508866,0.4802621058647152,0.4798316920471132,0.5431332141369102,0.4416581729353181,0.9279749949146467,0.7894882300878628,0.0,0.9026683907370401,0.9250971070786713,0.10419416516072555,0.04952084556813711
0,6,0.6656753209197174,0.5118258463280995,0.565803035256673,0.6334280088370632,0.7055572515665269,0.5772781041714641,1.0271603079500082,0.8264989566182371,0.0,0.9026683907370401,0.9250971070786713,0.10419416516072555,0.04952084556813711
0,7,0.8206967092185272,0.5516108306601061,0.7055686021706443,0.7863663675955905,0.8901496172077589,0.7541803826161442,1.4475372229198995,1.1833156874556559,0.036073467363050636,0.9026683907370401,0.9250971070786713,0.10419416516072555,0.04952084556813711
0,8,0.7997905236414057,0.6734630141535484,0.7886605421262968,0.7633262826864003,0.8525322379370881,0.6983127252670376,2.0488352017275644,1.1211371729690192,0.28663782174964564,0.9026683907370401,0.9250971070786713,0.10419416516072555,0.04952084556813711
0,9,0.8702413637468112,0.5660089490362563,0.7244332752885522,0.8088916247622832,0.917505400915012,0.7386058095532948,2.232742764658292,1.7862302363834075,0.4845544129577343,0.9026683907370401,0.9250971070786713,0.10419416516072555,0.04952084556813711
0,10,0.9271649495933567,0.6199077560573213,0.7936246339418658,0.7867247323343234,1.0009525191732045,0.9201557514493798,1.4795512803182882,1.8628243042213262,0.6161738209040002,0.9026683907370401,0.9250971070786713,0.10419416516072555,0.04952084556813711
0,11,0.8966618898762483,0.6465915883491188,0.8337723936897936,0.9297206896952561,1.0527099477533222,0.8101260187492829,1.803660545343293,1.473078180029315,0.6844209213205824,0.9026683907370401,0.9250971070786713,0.10419416516072555,0.04952084556813711
0,12,1.0480561043439478,0.7087037625173154,0.8976832090974488,1.0108652117786956,1.137460103631922,0.9246708405088091,2.2633596877863154,1.828639658686952,0.7039200928681774,0.9026683907370401,0.9250971070786713,0.10419416516072555,0.04952084556813711
0,13,1.0787544915049074,0.7209086246138887,0.9237576040025774,0.9451810843675369,1.2058021490314441,0.9415970659419076,2.1918802301986604,1.7714575681290867,0.6678466255051269,0.9026683907370401,0.9250971070786713,0.10419416516072555,0.04952084556813711
0,14,1.035988255162025,0.7455791109550001,0.801408814352095,0.9878502897089785,1.1186410259586588,0.9039976418794099,2.0574327588638814,1.6345976278990748,0.5723006849219116,0.9026683907370401,0.9250971070786713,0.10419416516072555,0.04952084556813711
0,15,1.110601966185793,0.7420579151012879,1.0420345510631877,1.0249016934818762,1.1975110720918298,0.9690770527230385,1.9269473347755792,1.5420281599066086,0.41630731254115205,0.9026683907370401,0.9250971070786713,0.10419416516072555,0.04952084556813711
0,16,1.1219986231316996,0.711609010718426,0.9606946717105116,1.0706018138654196,1.1668283869346707,0.9953832384589598,1.798732347621561,1.356812378828399,0.19986650836284814,0.9026683907370401,0.9250971070786713,0.10419416516072555,0.04952084556813711
0,17,1.2333763641289903,0.8237142154893602,0.9171400629257883,1.176823523746488,1.3318440054897285,1.0762847364673236,1.7465847680119753,1.397250471312166,0.005849751464278483,0.9026683907370401,0.9250971070786713,0.10419416516072555,0.04952084556813711
0,18,1.4279876659735458,0.9540069413062637,1.223351347764771,1.3638173745284574,1.5434010629432051,1.2518750006004336,1.6560501624700714,1.315173254291625,0.0,0.9026683907370401,0.9250971070786713,0.10419416516072555,0.04952084556813711
0,19,1.490183894116572,1.0065533569290095,1.08195972660041,1.4391604936469518,1.6102056908372937,1.321022587275144,1.5148234531981593,1.2339137147794335,0.0,0.9026683907370401,0.9250971070786713,0.10419416516072555,0.04952084556813711
