Datetime,R1,R2,R3,R4,R5,R6
01/01/2021 00:00,0.780361853,0.52748849,0.669290376,0.831639115,0.849702607,0.683703024
01/01/2021 01:00,0.67161396,0.478501389,0.471117789,0.681044449,0.76623021,0.62267629
01/01/2021 02:00,0.544268204,0.378906225,0.480764521,0.53691979,0.626089292,0.523717602
01/01/2021 03:00,0.455153621,0.311543247,0.396146979,0.437584821,0.498165662,0.403751466
01/01/2021 04:00,0.428514102,0.305720574,0.367574854,0.409712606,0.46332718,0.375932633
01/01/2021 05:00,0.513599814,0.347166028,0.354746599,0.450116507,0.607567639,0.438677504
01/01/2021 06:00,0.82862042,0.451717438,0.573117894,0.638785277,0.719867851,0.585531134
01/01/2021 07:00,0.827690247,0.55949052,0.709814112,0.803643587,0.894906586,0.725123084
01/01/2021 08:00,0.702011404,0.541936784,0.687625669,0.902501849,0.866809352,0.702469029
01/01/2021 09:00,0.910867543,0.621002858,0.781256221,0.836515458,0.965198032,0.797470202
01/01/2021 10:00,0.923593013,0.627648822,0.792021585,0.882714988,0.996215564,0.809315547
01/01/2021 11:00,0.968562392,0.65599196,0.830640318,0.925809769,1.047110145,0.918711986
01/01/2021 12:00,1.047154268,0.696270298,0.88338659,1.105631282,1.04604717,0.902453242
01/01/2021 13:00,0.971952749,0.708361009,0.878717488,1.074848709,1.092694813,0.91045763
01/01/2021 14:00,1.004451922,0.6789408,0.861431929,0.960113324,1.085481522,0.879991235
01/01/2021 15:00,1.077794677,0.728283495,0.924318148,1.033219138,1.165180032,0.944256583
01/01/2021 16:00,1.088493341,0.735816891,0.919512765,1.040543063,1.17680654,1.129943465
01/01/2021 17:00,1.199477515,0.794370526,1.080199681,1.146181841,1.295703147,1.050021182
01/01/2021 18:00,1.357617074,0.917878894,1.164560033,1.297955506,1.468193826,1.174512927
01/01/2021 19:00,1.479975066,1.051125653,1.177399279,1.403154578,1.589479529,1.288057504
01/01/2021 20:00,1.501058768,1.014136363,1.287289953,1.434823152,1.47,1.315447474
01/01/2021 21:00,1.47,1.003972354,1.135911908,1.420669264,1.606802362,1.302041692
01/01/2021 22:00,1.257958149,1.050717022,1.184618631,1.202103976,1.359588578,1.101799532
01/01/2021 23:00,0.936136674,0.671227334,0.847045948,0.998819047,1.067769773,0.91537349
02/01/2021 00:00,0.791065839,0.534716046,0.678403568,0.857285145,0.855161262,0.692989299
